næring,måned,statistikkvariabel,"07129: Varehandelsindeksen, etter næring, måned og statistikkvariabel"
"47 Detaljhandel, unntatt salg av motorvogner",2024M07,"Volumindeks, sesongjustert",91.8
"47 Detaljhandel, unntatt salg av motorvogner",2024M08,"Volumindeks, sesongjustert",92.3
"47 Detaljhandel, unntatt salg av motorvogner",2024M09,"Volumindeks, sesongjustert",92.2
"47 Detaljhandel, unntatt salg av motorvogner",2024M10,"Volumindeks, sesongjustert",92.6
"47 Detaljhandel, unntatt salg av motorvogner",2024M11,"Volumindeks, sesongjustert",93.2
"47 Detaljhandel, unntatt salg av motorvogner",2024M12,"Volumindeks, sesongjustert",93.3
"47 Detaljhandel, unntatt salg av motorvogner",2025M01,"Volumindeks, sesongjustert",94.4
"47 Detaljhandel, unntatt salg av motorvogner",2025M02,"Volumindeks, sesongjustert",94.4
"47 Detaljhandel, unntatt salg av motorvogner",2025M03,"Volumindeks, sesongjustert",95.1
"47 Detaljhandel, unntatt salg av motorvogner",2025M04,"Volumindeks, sesongjustert",95.7
"47 Detaljhandel, unntatt salg av motorvogner",2025M05,"Volumindeks, sesongjustert",95.8
"47 Detaljhandel, unntatt salg av motorvogner",2025M06,"Volumindeks, sesongjustert",95.9
"47 Detaljhandel, unntatt salg av motorvogner",2025M07,"Volumindeks, sesongjustert",96.5
