region,kjønn,alder,år,statistikkvariabel,"07459: Befolkning, etter region, kjønn, alder, år og statistikkvariabel"
3101 Halden,2 Kvinner,F00-04 0-4 år,2025,Personer,666
3101 Halden,2 Kvinner,F05-09 5-9 år,2025,Personer,774
3101 Halden,2 Kvinner,F10-14 10-14 år,2025,Personer,870
3101 Halden,2 Kvinner,F15-19 15-19 år,2025,Personer,940
3101 Halden,2 Kvinner,F20-24 20-24 år,2025,Personer,859
3101 Halden,2 Kvinner,F25-29 25-29 år,2025,Personer,855
3101 Halden,2 Kvinner,F30-34 30-34 år,2025,Personer,934
3101 Halden,2 Kvinner,F35-39 35-39 år,2025,Personer,970
3101 Halden,2 Kvinner,F40-44 40-44 år,2025,Personer,978
3101 Halden,2 Kvinner,F45-49 45-49 år,2025,Personer,983
3101 Halden,2 Kvinner,F50-54 50-54 år,2025,Personer,1121
3101 Halden,2 Kvinner,F55-59 55-59 år,2025,Personer,1160
3101 Halden,2 Kvinner,F60-64 60-64 år,2025,Personer,1005
3101 Halden,2 Kvinner,F65-69 65-69 år,2025,Personer,990
3101 Halden,2 Kvinner,F70-74 70-74 år,2025,Personer,864
3101 Halden,2 Kvinner,F75-79 75-79 år,2025,Personer,877
3101 Halden,2 Kvinner,F80-84 80-84 år,2025,Personer,509
3101 Halden,2 Kvinner,F85-89 85-89 år,2025,Personer,309
3101 Halden,2 Kvinner,F90-94 90-94 år,2025,Personer,159
3101 Halden,2 Kvinner,F95-99 95-99 år,2025,Personer,51
3101 Halden,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,6
3101 Halden,1 Menn,F00-04 0-4 år,2025,Personer,716
3101 Halden,1 Menn,F05-09 5-9 år,2025,Personer,803
3101 Halden,1 Menn,F10-14 10-14 år,2025,Personer,921
3101 Halden,1 Menn,F15-19 15-19 år,2025,Personer,988
3101 Halden,1 Menn,F20-24 20-24 år,2025,Personer,1010
3101 Halden,1 Menn,F25-29 25-29 år,2025,Personer,981
3101 Halden,1 Menn,F30-34 30-34 år,2025,Personer,1077
3101 Halden,1 Menn,F35-39 35-39 år,2025,Personer,986
3101 Halden,1 Menn,F40-44 40-44 år,2025,Personer,916
3101 Halden,1 Menn,F45-49 45-49 år,2025,Personer,1054
3101 Halden,1 Menn,F50-54 50-54 år,2025,Personer,1093
3101 Halden,1 Menn,F55-59 55-59 år,2025,Personer,1193
3101 Halden,1 Menn,F60-64 60-64 år,2025,Personer,1053
3101 Halden,1 Menn,F65-69 65-69 år,2025,Personer,952
3101 Halden,1 Menn,F70-74 70-74 år,2025,Personer,872
3101 Halden,1 Menn,F75-79 75-79 år,2025,Personer,802
3101 Halden,1 Menn,F80-84 80-84 år,2025,Personer,431
3101 Halden,1 Menn,F85-89 85-89 år,2025,Personer,212
3101 Halden,1 Menn,F90-94 90-94 år,2025,Personer,79
3101 Halden,1 Menn,F95-99 95-99 år,2025,Personer,17
3101 Halden,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,2
3103 Moss,2 Kvinner,F00-04 0-4 år,2025,Personer,1130
3103 Moss,2 Kvinner,F05-09 5-9 år,2025,Personer,1260
3103 Moss,2 Kvinner,F10-14 10-14 år,2025,Personer,1459
3103 Moss,2 Kvinner,F15-19 15-19 år,2025,Personer,1551
3103 Moss,2 Kvinner,F20-24 20-24 år,2025,Personer,1270
3103 Moss,2 Kvinner,F25-29 25-29 år,2025,Personer,1342
3103 Moss,2 Kvinner,F30-34 30-34 år,2025,Personer,1603
3103 Moss,2 Kvinner,F35-39 35-39 år,2025,Personer,1669
3103 Moss,2 Kvinner,F40-44 40-44 år,2025,Personer,1653
3103 Moss,2 Kvinner,F45-49 45-49 år,2025,Personer,1728
3103 Moss,2 Kvinner,F50-54 50-54 år,2025,Personer,1937
3103 Moss,2 Kvinner,F55-59 55-59 år,2025,Personer,1997
3103 Moss,2 Kvinner,F60-64 60-64 år,2025,Personer,1700
3103 Moss,2 Kvinner,F65-69 65-69 år,2025,Personer,1591
3103 Moss,2 Kvinner,F70-74 70-74 år,2025,Personer,1473
3103 Moss,2 Kvinner,F75-79 75-79 år,2025,Personer,1428
3103 Moss,2 Kvinner,F80-84 80-84 år,2025,Personer,904
3103 Moss,2 Kvinner,F85-89 85-89 år,2025,Personer,487
3103 Moss,2 Kvinner,F90-94 90-94 år,2025,Personer,219
3103 Moss,2 Kvinner,F95-99 95-99 år,2025,Personer,45
3103 Moss,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,9
3103 Moss,1 Menn,F00-04 0-4 år,2025,Personer,1187
